school number,District,campus,district2,latitude,longitude,address,grade_span,school_type,feeder
'057905201,'057905,CHARLES RICE LEARNING CENTER,DALLAS ISD,32.7564888,-96.7621231,"2425 Pine St, Dallas, TX 75215",'PK - 05,E,LINCOLN HUMANITIES/COMMUNICATIONS
'057905157,'057905,JAMES S HOGG ELEMENTARY SCHOOL,DALLAS ISD,32.7568474,-96.8250732,"1144 N Madison Ave, Dallas, TX 75208",'PK - 05,E,#N/A
'057905207,'057905,SAN JACINTO EL,DALLAS ISD,32.7569618,-96.6859512,"7900 Hume Dr, Dallas, TX 75227",'EE - 05,E,W W SAMUELL H S
'057905052,'057905,JOHN B HOOD MIDDLE,DALLAS ISD,32.7584229,-96.6899796,"7625 Hume Dr, Dallas, TX 75227",'06 - 08,M,W W SAMUELL H S
'057905105,'057905,ARCADIA PARK EL,DALLAS ISD,32.7593155,-96.9105301,"1300 N Justin Ave, Dallas, TX 75211",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905128,'057905,MARTIN LUTHER KING JR LEARNING CENTER,DALLAS ISD,32.7608528,-96.7729721,"1817 Warren Ave, Dallas, TX 75215",'PK - 05,E,JAMES MADISON HIGH SCHOOL
'057905211,'057905,STEVENS PARK EL,DALLAS ISD,32.761906,-96.865257,"2615 W Colorado Blvd, Dallas, TX 75211",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905200,'057905,JOSEPH J RHOADS LEARNING CENTER,DALLAS ISD,32.76342,-96.748726,"4401 S 2nd Ave, Dallas, TX 75210",'PK - 05,E,LINCOLN HUMANITIES/COMMUNICATIONS
'057905068,'057905,RAUL QUINTANILLA SR MIDDLE,DALLAS ISD,32.764024,-96.8660413,"2700 Remond Dr, Dallas, TX 75211",'06 - 08,M,SUNSET HIGH SCHOOL
'057905035,'057905,IRMA LERMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,DALLAS ISD,32.764492,-96.7363052,"75210, TX",'09 - 12,S,#N/A
'057905209,'057905,ASCHER SILBERSTEIN EL,DALLAS ISD,32.7672043,-96.7205353,"5940 Hollis Ave, Dallas, TX 75227",'PK - 05,E,SKYLINE HIGH SCHOOL
'057905173,'057905,SIDNEY LANIER EXPRESSIVE ARTS VANGUARD,DALLAS ISD,32.7680054,-96.8441849,"1400 Walmsley Ave, Dallas, TX 75208",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905247,'057905,ADELFA BOTELLO CALLEJO EL,DALLAS ISD,32.770419,-96.6865144,"7817 Military Pkwy, Dallas, TX 75227",'EE - 05,E,SKYLINE HIGH SCHOOL
'057905032,'057905,JAMES MADISON H S,DALLAS ISD,32.7706375,-96.7641068,"3000 Martin Luther King Jr Blvd, Dallas, TX 75215",'09 - 12,S,#N/A
'057905096,'057905,JUVENILE JUSTICE AEP,DALLAS ISD,32.7713652,-96.8683252,"1673 Terre Colony Ct, Dallas, TX 75212",'06 - 12,B,#N/A
'057905353,'057905,ANN RICHARDS MIDDLE,DALLAS ISD,32.7714604,-96.6655268,"3831 N Prairie Creek Rd, Dallas, TX 75227",'06 - 08,M,SKYLINE HIGH SCHOOL
'057905062,'057905,BILLY EARL DADE MIDDLE,DALLAS ISD,32.7717819,-96.7704849,"2801 Park Row Ave, Dallas, TX 75215",'06 - 08,M,JAMES MADISON HIGH SCHOOL
'057905272,'057905,MARIA MORENO EL,DALLAS ISD,32.771972,-96.8567462,"2115 N Hampton Rd, Dallas, TX 75208",'PK - 05,E,JUSTIN F KIMBALL HIGH SCHOOL
'057905356,'057905,IRMA RANGEL YOUNG WOMENS LEADERSHIP MIDDLE,DALLAS ISD,32.7731972,-96.7593384,"1718 Robert B Cullum Blvd, Dallas, TX 75210",'06 - 08,M,Magnet
'057905222,'057905,URBAN PARK EL SCHOOL,DALLAS ISD,32.7739143,-96.701683,"6901 Military Pkwy, Dallas, TX 75227",'PK - 05,E,SKYLINE HIGH SCHOOL
'057905139,'057905,PAUL L DUNBAR LEARNING CENTER,DALLAS ISD,32.774826,-96.7492065,"4200 Metropolitan Ave, Dallas, TX 75210",'EE - 05,E,JAMES MADISON HIGH SCHOOL
'057905099,'057905,HOSPITAL/HOMEBOUND,DALLAS ISD,32.775238,-96.7934265,"912 S Ervay St, Dallas, TX 75201",'EE - 12,B,Alternative
'057905074,'057905,THOMAS A EDISON MIDDLE LEARNING CENTER,DALLAS ISD,32.7779732,-96.868515,"2940 Singleton Blvd, Dallas, TX 75212",'06 - 08,M,L G PINKSTON HIGH SCHOOL
'057905172,'057905,JIMMIE TYLER BRASHEAR EL,DALLAS ISD,32.7782424,-96.856669,"2959 N Hampton Rd, Dallas, TX 75212",'PK - 05,E,JUSTIN F KIMBALL HIGH SCHOOL
